1343489308137820162 2020-12-28 17:29:46 +0800 <GrootKo> Auto's in Rotterdam-Schiemond in brand gestoken - #rijnmond  https://t.co/Rn53hzK9so
1343477334540693504 2020-12-28 16:42:11 +0800 <GrootKo> Imam spreekt duidelijke taal: “Het is Allah´s plan om Europa te islamiseren”  https://t.co/IdIGceOCpk via @EJBron2
1343472262071144449 2020-12-28 16:22:02 +0800 <GrootKo> Rumoer binnen PvdA over positie Asscher👇  https://t.co/LarL4UR1PR
1343326878854217728 2020-12-28 06:44:20 +0800 <GrootKo> Koninklijke Horeca Nederland: “Er dreigt een BLOEDBAD, kwart horecazaken staat binnenkort op omvallen”  https://t.co/sm58OjL5wK
1343274712282050561 2020-12-28 03:17:02 +0800 <GrootKo> Horecatycoon: Er moet keihard worden ingegrepen op het Binnenhof  https://t.co/cEAaQ6XwNZ
1343255684356460545 2020-12-28 02:01:26 +0800 <GrootKo> Staartje toeslagenaffaire: pleegde top Financiën meineed en was ‘verdwenen’ explosieve memo bekend?  https://t.co/k2ZqStlSui
1343235488308719618 2020-12-28 00:41:11 +0800 <GrootKo> ‘Discussieprogramma’ Buitenhof nodigde in 2020 continu PvdA’ers, D66’ers   https://t.co/IIH5ldZubT
1343235020262092800 2020-12-28 00:39:19 +0800 <GrootKo> Bassiehof – Zo brengt Pieter Omtzigt (CDA) op de valreep van 2020 Alexandra van Huffelen (D66) in de problemen  https://t.co/Zt4I4iOC4k via @TPOnl
1343174674176499713 2020-12-27 20:39:31 +0800 <GrootKo> Somaliër in Frankrijk: Twee identiteiten, twee uitkeringen – Nooit gewerkt, beetje rugpijn  https://t.co/rcweCaNjfP via @DissidentNL
1343173922561417216 2020-12-27 20:36:32 +0800 <GrootKo> Wilders(PVV) v Klaver(GL); 'Als links tuig wat doet, dan kijkt u de ande...  https://t.co/mZNH604Jfl via @YouTube
1343170121104322566 2020-12-27 20:21:26 +0800 <GrootKo> @Reith2Adam Welkom terug👍
1343169775195869185 2020-12-27 20:20:03 +0800 <GrootKo> Wilders(PVV) v Jetten(D66); 'Waar was u toen Grapperhaus de fout inging!...  https://t.co/UYfF4IJGAx via @YouTube
1343168406229549057 2020-12-27 20:14:37 +0800 <GrootKo> De Jonge vergelijkt nemen van vaccin met eten van frikandel  https://t.co/Fyf7TVXGKZ
1343168183734312961 2020-12-27 20:13:44 +0800 <GrootKo> Het verkwanselen van onze soevereiniteit aan Brussel is strafbaar  https://t.co/Rzh75M2CQS via @JDreport
1343167755554582535 2020-12-27 20:12:02 +0800 <GrootKo> Moslima verwoest drankafdeling in de supermarkt  https://t.co/6XOPhIqcTp
