1340077532100644875 2020-12-19 07:32:35 +0800 <frankiehawk88> @melodyjaifans Wow. I feel it. That is a dream.  Everyday pleasure!!  Hahaha
1336157433782276096 2020-12-08 11:55:31 +0800 <frankiehawk88> @thewillwitt In America nothing matters except money.....race, creed, height, education, religion, culture, tv, books, family, silly jobs, social media, words, arguments, dinners, sunny days, marriages, living alone, home or street..no one cares...even character is dead..
1336009602652102664 2020-12-08 02:08:05 +0800 <frankiehawk88> @ByzantineImper1 Classic bro!!  Anch’io
1335799572866752512 2020-12-07 12:13:30 +0800 <frankiehawk88>  https://t.co/4oh9bfccE6
1325469351051452418 2020-11-09 00:04:53 +0800 <frankiehawk88>  https://t.co/I7DzrqO2ZU
1319478723410857989 2020-10-23 11:20:17 +0800 <frankiehawk88>  https://t.co/91equuGe5l
1319478676023611392 2020-10-23 11:20:05 +0800 <frankiehawk88>  https://t.co/4HsAPJ9gMG
1319476288801783809 2020-10-23 11:10:36 +0800 <frankiehawk88> @AnonymousSage1  https://t.co/QN9pQF16hk
1317377611207761920 2020-10-17 16:11:12 +0800 <frankiehawk88>  https://t.co/clRGZaiNYV
1317136402480615425 2020-10-17 00:12:44 +0800 <frankiehawk88>  https://t.co/fo8GKxL66R
1317091262177173504 2020-10-16 21:13:21 +0800 <frankiehawk88>  https://t.co/IUKGtsbaD2
